Observation Name,Name,ISRO Observed,X-ray type,RA (h),RA (min),RA (sec),DE (deg),DE (arcmin),DE (arcsec),Galactic Longitude (deg),Galactic Lattitude (deg),Observation Type,Position Accuracy (arcsec),V (mag),B - V (mag),U - B (mag),Average Flux (mag),Range,Orbital Period (d),Pulse Period (s),Title 1,URL 1,Title 2,URL 2,Title 3,URL 3
,1742.2-2857,FALSE,,17,45,26.6,-28,59,0,359.9,+0.01,x,60,,,,0.1,(0.9-4.0keV),,,,,,,,
,1742-294,FALSE,B(T?),17,45,37,-29,27,,359.56,-0.26,x,180,,,,45,,,,,,,,,
,1742-289,FALSE,TB(?),17,45,37,-29,1,7,359.9,0,r,3,,,,9-2000,,,,,,,,,
,1742.5-2859,FALSE,,17,45,40.7,-29,0,11,359.95,-0.05,x,60,,,,1-5,,,,,,,,,
,1742.5-2845,FALSE,,17,45,42.9,-28,46,53,0.14,+0.06,x,60,,,,0.15-26,(0.9-4.0 keV),,,,,,,,
,1742.7-2902,FALSE,,17,45,52.9,-29,3,22,359.9,-0.11,x,60,,,,0.2,(0.9-4.0 keV),,,,,,,,
,1742.8-2853,FALSE,,17,46,0,-28,54,49,0.06,-0.063,x,60,,,,0.2,(0.9-4.0 keV),,,,,,,,
,1742.9-2852,FALSE,,17,46,4.9,-28,53,13,0.09,-0.06,x,60,,,,0.2,(0.9-4.0 keV),,,,,,,,
,1742-294,FALSE,B,17,46,6.2,-29,31,6,359.56,-0.39,x,60,,,,60-180,,,,,,,,,
,1742.9-2849,FALSE,,17,46,9.7,-28,51,4,0.13,-0.0626,x,60,,,,0.2,(0.9-4.0 keV),,,,,,,,
,1743.1-2843,FALSE,,17,46,19.2,-28,44,7,0.25,-0.03,x,60,,,,0.5-12,,,,,,,,,
,1743.1-2852,FALSE,,17,46,19.5,-28,53,43,0.11,-0.11,x,60,,,,0.2,(0.9-4.0 keV),,,,,,,,
,1743-288,FALSE,TB,17,46,47,:-28,53,41,0.21,-0.25,x,120,,,,1-40,,,,,,,,,
,1744-299,FALSE,,17,47,25.7,-29,59,43,359.3,-0.89,x,60,,,,6,,,,,,,,,
,J1744-28,FALSE,TBP,17,44,33.1,-28,44,29,0.04,+0.31,x,10,,,,4700,(8-20 keV),284.02,0.467,,,,,,
,1744-300,FALSE,B,17,47,25.9,-30,2,31,359.26,-0.9,x,60,,,,4,,,,,,,,,
,1744-265,FALSE,BA,17,47,56,-26,33,49,2.3,+0.8,x,3,,,,400,,,,,,,,,
,1744-361,FALSE,T,17,48,13.4,-36,7,53,354.1,-4.2,x,40,,,,25-275,,,,,,,,,
,J1745.6-2901,FALSE,TB,17,45,36,-29,1,34,359.9,-0.035,x,25,,,,0.4-2,(3-10 keV),8.4,,,,,,,
,1745-248,FALSE,TGB,17,48,56,-24,53,40,3.8,+1.5,x,540,,,,0.1-110,,,,,,,,,
,1745-203,FALSE,GT,17,48,53.5,-20,22,2,7.7,+3.8,x,60,,,,0.1-180,,,,,,,,,
,1746-331,FALSE,U,17,49,50.6,-33,11,55,356.9,-3.1,x,35,,,,27,,,,,,,,,
,1746.7-3224,FALSE,,17,50,3.5,-32,25,43,357.5,-2.6,x,60,,,,0.1,,,,,,,,,
,1746-370,FALSE,GBA,17,50,12.7,-37,3,8,353.5,-5,x,2,,,,32,,5.7,,,,,,,
,1747-214,FALSE,TB,17,50,25.7,-21,25,21,19.8,+22.73,x,7,,,,70,,,,,,,,,
,1747-313,FALSE,G,17,50,45.5,-31,17,32,358.6,-2.2,x,60,,,,1.5-20,,12.36,,,,,,,
,J1748-288,FALSE,T,17,48,5.06,-28,28,25.8,0.7,-0.21,r,0.6,,,,640,,,,,,,,,
,J1748.9-2021,FALSE,TGB,17,48,53.4,-20,21,43,7.73,+3.8,x,60,,,,30,,,,,,,,,
,1749-285,FALSE,T,17,52,16,-28,30,22,+1.1,-1,x,300,,,,60,,,,,,,,,
,J1750.8-2900,FALSE,TB,17,50,24,-29,2,18,0.45,-0.94,x,60,,,,130,,,,,,,,,
,J1752.3-3138,FALSE,B,17,52,24,-31,37,42,358.4,-2.6,x,174,,,,740,(2-26 keV),,,,,,,,
,1755-338,FALSE,DU,17,58,40,-33,48,27,357.2,-4.9,o,,18.5,,,100,,4.46,,,,,,,
,J1755-324,FALSE,T,17,55,28.6,-32,28,39,358,-3.6,x,60,,,,180,(2-12 keV),,,,,,,,
GX 5-1,1758-250,TRUE,Z,18,1,8.2,-25,4,45,5.1,-1,x,3,,,,1250,,,,AstroSat observation of GX 5-1: spectral and timing evolution,https://ui.adsabs.harvard.edu/abs/2019RAA....19..114B,,,,
,1758-258,FALSE,U,18,1,12.7,-25,44,26,4.5,-1.4,r,2,,,,20,,,,,,,,,
