Observation Name,Name,ISRO Observed,X-ray type,RA (h),RA (min),RA (sec),DE (deg),DE (arcmin),DE (arcsec),Galactic Longitude (deg),Galactic Lattitude (deg),Observation Type,Position Accuracy (arcsec),V (mag),B - V (mag),U - B (mag),E(B - V) (mag),Average Flux (mag),Range,Orbital Period (d),Pulse Period (s),Spectral Type,Other Name 1,Other Name 2,Title 1,URL 1,Title 2,URL 2
,J0541.5-6833,FALSE,,5,41,37.1,-68,32,32,278.8,-31.4,x,4.5,14.02,-0.03,-1.04,,,,,,OB0,,,,,,
,0544-665,FALSE,,5,44,15.5,-66,33,50,276.5,-31.4,o,3,15.4,-0.2,-0.96,0.1,1.8,,,,B1Ve,,,,,,
,J0544.1-710,FALSE,TP,5,44,6.3,-71,0,50,281.6,-31,x,3.3,15.33,0.13,,0.32,0.14 - 0.36,(2-10 keV),,96.08,Be,J0544.1-7100,,,,,
,0556+286,FALSE,,5,55,54.7,+28,47,6,181.3,+1.9,o,,9.2,,,,1.1,,,,B5ne,,,,,,
,J0635+0533,FALSE,P,6,35,17.4,5,33,20.9,206.1,-1,x,60,12.83,+0.98,,1.2,0.55,,,0.0338,B2V-B1IIIe,,,,,,
,J0648.0-4419,FALSE,P,6,48,4.6,-44,18,54.4,253.7,-19.1,x,10,8.27,-0.24,-1.18,,0.03,,1.55,13.1789,sdO6,,,,,,
,0726-260,FALSE,TP,7,28,53.4,-26,6,28,240.3,-4.1,o,,11.6,0.3,-0.6,0.6,1.2 - 4.7,,34.5,103.2,O8-9Ve,,,,,,
,0739-529,FALSE,,7,47,23.5,-53,19,58,266.4,-13.7,o,,7.62,0.02,-0.24,,0.7,,,,B7IV-Ve,,",SAO235515",,,,
,0749-600,FALSE,,7,56,15.8,-61,5,59,274,-16.2,o,,6.73,0.05,-0.25,0.09,0.7,,,,B8IIIe,,",SAO250018",,,,
,J0812.4-3114,FALSE,TP,8,12,28.4,-31,14,51,249.6,+1.6,x,21,12.42,0.41,-0.69,,0.6,,80,31.8851,B0.5V-IIIe,,,,,,
,0834-430,FALSE,TP,8,35,55,-43,11,6,262,-1.5,x,60,20.4,,,4,30 - 300,,110,12.3,B0-2III-Ve,,,,,,
Vela X-1,0900-403,TRUE,P,9,2,6.9,-40,33,17,263.1,+3.9,o,,6.9,0.47,-0.51,0.7,2 - 1100,,8.96,283,B0.5Ib,Vela X-1,",GP Vel",,,,
